,Наименование,Тип жилья,Общая площадь,Жилая площадь,Площадь кухни,Высота потолков,Санузел,Ремонт,Год постройки,Мусоропровод,Тип дома,Тип перекрытий,Подъезды,Отопление,Аварийность,Этаж,Адрес,Цена,Балкон/лоджия,Вид из окон,Количество лифтов,Парковка,Газоснабжение,Строительная серия
72,3-комн. квартира,Вторичка,57,39,7,,1 раздельный,Косметический,1977,Да,Кирпичный,Железобетонные,6,Центральное,Нет,3 из 9,"Нижегородская область, Нижний Новгород, р-н Московский, мкр. Спортивный, Березовская ул., 114На карте",5 800 000 ₽,1 балкон,,1 пассажирский,,Центральное,1-447
73,2-комн. квартира,Вторичка,"49,7","29,1","8,1",,1 совмещенный,Косметический,1969,,Кирпичный,Железобетонные,1,Центральное,Нет,1 из 14,"Нижегородская область, Нижний Новгород, р-н Приокский, мкр. Щербинки, ул. Ларина, 3На карте",5 900 000 ₽,2 лоджии,,2 пассажирских,,,
74,2-комн. квартира,Вторичка,"49,9","29,4","8,7",,1 раздельный,Косметический,1986,Да,Панельный,Железобетонные,3,Центральное,Нет,8 из 9,"Нижегородская область, Нижний Новгород, р-н Нижегородский, мкр. Верхние Печеры, ул. Германа Лопатина, 9На карте",6 200 000 ₽,1 балкон,,1 пассажирский,,Центральное,
75,3-комн. квартира,Вторичка,61,"45,9","5,9",,1 раздельный,Косметический,1971,Да,Панельный,Железобетонные,8,Центральное,Нет,4 из 5,"Нижегородская область, Нижний Новгород, р-н Приокский, мкр. Щербинки, ул. Маршала Жукова, 20На карте",6 300 000 ₽,1 балкон,Во двор,1 пассажирский,,Центральное,
76,1-комн. квартира,Вторичка,"43,6","17,3","8,6",,1 раздельный,,2012,,Монолитный,Железобетонные,3,Центральное,Нет,2 из 17,"Нижегородская область, Нижний Новгород, р-н Нижегородский, мкр. Верхние Печеры, ул. Богдановича, 6к1На карте",6 300 000 ₽,1 балкон,,"1 пассажирский, 1 грузовой",,,
77,2-комн. квартира,Вторичка,"57,3",37,"6,5","3,1 м",1 раздельный,Евроремонт,,,Кирпичный,,,,,3 из 5,"Нижегородская область, Нижний Новгород, р-н Автозаводский, мкр. Соцгород, 5-й микрорайонНа карте",6 570 000 ₽,1 балкон,,,,,
78,2-комн. квартира,Вторичка,"52,7","30,3",9,,1 раздельный,Косметический,1981,Да,Панельный,Железобетонные,3,Центральное,Нет,8 из 9,"Нижегородская область, Нижний Новгород, р-н Нижегородский, мкр. Усиловский, ул. Героя Советского Союза Усилова, 1к3На карте",6 700 000 ₽,1 балкон,Во двор,1 пассажирский,,Центральное,
79,2-комн. квартира,Вторичка,57,"30,8","7,4",,1 раздельный,Косметический,1957,Да,Кирпичный,Железобетонные,10,Центральное,Нет,5 из 5,"Нижегородская область, Нижний Новгород, р-н Московский, мкр. Орджоникидзе, ул. Черняховского, 9На карте",6 999 000 ₽,1 балкон,,1 пассажирский,,Центральное,1-447
80,2-комн. квартира,Вторичка,"48,2","28,3","9,1",,1 совмещенный,Косметический,,,,,,,,8 из 10,"Нижегородская область, Нижний Новгород, р-н Советский, мкр. Кузнечиха, ул. Новокузнечихинская, 5На карте",7 100 000 ₽,1 лоджия,,1 пассажирский,,,
81,3-комн. квартира,Вторичка,"64,8","44,5","7,1",,1 раздельный,Евроремонт,1989,Да,Панельный,Железобетонные,3,Центральное,Нет,3 из 9,"Нижегородская область, Нижний Новгород, р-н Московский, мкр. Бурнаковский, Народная ул., 40На карте",7 850 000 ₽,"1 лоджия, 1 балкон",Во двор,1 пассажирский,,Центральное,1-464
82,3-комн. квартира,Вторичка,"76,5",42,"9,5",,1 совмещенный,,1978,,Панельный,Железобетонные,2,Центральное,Нет,2 из 9,"Нижегородская область, Нижний Новгород, р-н Сормовский, мкр. Комсомольский, ул. Василия Иванова, 14к1На карте",7 999 999 ₽,1 балкон,,1 пассажирский,,Центральное,
83,2-комн. квартира,Вторичка,"67,6","31,1","16,7",,1 раздельный,Косметический,2023,Да,Монолитный,Железобетонные,1,Автономная котельная,Нет,1 из 18,"Нижегородская область, Нижний Новгород, р-н Сормовский, мкр. Кооперативный поселок, ул. Коперника, 2На карте",7 976 800 ₽,1 лоджия,,1 пассажирский,,Центральное,
84,1-комн. квартира,Вторичка,"27,6","16,7","5,8","2,6 м",1 совмещенный,Без ремонта,1959,,Кирпичный,Деревянные,2,Центральное,Нет,3 из 3,"Нижегородская область, Нижний Новгород, р-н Ленинский, мкр. Ипподромный, ул. Дружбы, 56На картеЗаречная6 мин.Двигатель Революции12 мин.Ленинская5 мин.",3 050 000 ₽,,Во двор,,Наземная,Центральное,
85,1-комн. квартира,Вторичка,"45,1","15,7",16,,1 совмещенный,Косметический,2004,,Кирпичный,Железобетонные,3,Центральное,Нет,2 из 19,"Нижегородская область, Нижний Новгород, р-н Нижегородский, мкр. Верхние Печеры, Казанское ш., 5На карте",5 800 000 ₽,1 лоджия,,"1 пассажирский, 2 грузовых",,,
86,3-комн. квартира,Вторичка,60,44,7,"2,55 м",1 раздельный,Косметический,1975,Да,Панельный,Железобетонные,2,Центральное,Нет,7 из 9,"Нижегородская область, Нижний Новгород, р-н Канавинский, мкр. Мещерское озеро, ул. Сергея Есенина, 7На карте",6 490 000 ₽,1 балкон,,1 пассажирский,,Центральное,
87,2-комн. квартира,Вторичка,"38,1","22,7","6,1",,1 раздельный,Косметический,1979,Да,Панельный,Железобетонные,4,Центральное,Нет,3 из 9,"Нижегородская область, Нижний Новгород, р-н Приокский, мкр. Щербинки, ул. Маршала Голованова, 45На карте",4 400 000 ₽,1 балкон,,1 пассажирский,,Центральное,
88,Студия,Вторичка,"17,1","10,1",2,,1 совмещенный,Косметический,2012,,Панельный,Железобетонные,2,Центральное,Нет,3 из 10,"Нижегородская область, Нижний Новгород, р-н Автозаводский, мкр. Мончегорский, ул. Спутника, 40На карте",2 960 000 ₽,,,1 пассажирский,,,
89,2-комн. квартира,Вторичка,55,,10,"2,9 м",1 раздельный,Дизайнерский,1958,,Кирпичный,Железобетонные,1,Центральное,Нет,1 из 3,"Нижегородская область, Нижний Новгород, р-н Канавинский, мкр. Канавино, ул. Луначарского, 2/18На картеМосковская5 мин.Стрелка4 мин.Чкаловская4 мин.",6 310 000 ₽,,На улицу и двор,,Наземная,Центральное,
90,1-комн. квартира,Вторичка,"29,7","18,1",5,"2,5 м",,Косметический,1981,,Кирпичный,Железобетонные,1,Центральное,Нет,1 из 9,"Нижегородская область, Нижний Новгород, р-н Московский, мкр. Орджоникидзе, ул. Мечникова, 79На карте",2 950 000 ₽,,,,,Центральное,111-86
