,Наименование,Тип жилья,Общая площадь,Жилая площадь,Площадь кухни,Высота потолков,Санузел,Ремонт,Год постройки,Мусоропровод,Тип дома,Тип перекрытий,Подъезды,Отопление,Аварийность,Этаж,Адрес,Цена,Балкон/лоджия,Вид из окон,Количество лифтов,Парковка,Газоснабжение,Строительная серия
62,1-комн. квартира,Вторичка,"29,5","17,6","5,1",,1 совмещенный,,1981,Да,Кирпичный,Железобетонные,1,Центральное,Нет,2 из 9,"Нижегородская область, Нижний Новгород, р-н Московский, мкр. Орджоникидзе, ул. Мечникова, 79На карте",3 599 000 ₽,,,1 пассажирский,,Центральное,111-86
63,1-комн. квартира,Вторичка,31,20,6,,1 совмещенный,,1957,,,Железобетонные,2,Центральное,Нет,3 из 3,"Нижегородская область, Нижний Новгород, р-н Советский, мкр. улица Бекетова, Агрономическая ул., 191На карте",4 000 000 ₽,,Во двор,,,Центральное,
64,2-комн. квартира,Вторичка,42,27,6,,1 раздельный,Косметический,1966,Да,Кирпичный,Железобетонные,4,Нет информации,Нет,3 из 5,"Нижегородская область, Нижний Новгород, р-н Московский, мкр. Орджоникидзе, ул. Мечникова, 59На карте",4 050 000 ₽,1 балкон,,,,Центральное,
65,2-комн. квартира,Вторичка,"44,1","30,7","6,2","2,5 м",1 совмещенный,Косметический,1967,,Кирпичный,Железобетонные,8,Центральное,Нет,3 из 5,"Нижегородская область, Нижний Новгород, р-н Приокский, мкр. Щербинки, просп. Гагарина, 180На картеАвтозаводская10 мин.Пролетарская11 мин.Двигатель Революции12 мин.",4 690 000 ₽,1 балкон,,,Наземная,Центральное,
66,3-комн. квартира,Вторичка,"51,9","29,6","5,8",,1 раздельный,Косметический,1976,,,Нет информации,4,Центральное,Нет,1 из 5,"Нижегородская область, Нижний Новгород, р-н Нижегородский, мкр. Усиловский, Яблоневая ул., 12АНа карте",4 950 000 ₽,,,,,Автономное,
67,3-комн. квартира,Вторичка,"57,1",36,"7,8",,1 раздельный,,1987,Да,Панельный,Железобетонные,6,Центральное,Нет,1 из 9,"Нижегородская область, Нижний Новгород, р-н Канавинский, мкр. Сортировочный, ул. Лесной городок, 2На карте",5 300 000 ₽,2 лоджии,,1 пассажирский,,Центральное,
68,3-комн. квартира,Вторичка,"63,8","48,5","5,8","2,52 м",1 раздельный,Косметический,1969,,Кирпичный,Железобетонные,4,Центральное,Нет,5 из 5,"Нижегородская область, Нижний Новгород, р-н Сормовский, мкр. Светлоярский, ул. Мокроусова, 7На карте",5 300 000 ₽,1 балкон,,,,Центральное,
69,1-комн. квартира,Вторичка,35,18,"7,5",,1 совмещенный,,1989,Да,Кирпичный,Нет информации,11,Центральное,Нет,9 из 10,"Нижегородская область, Нижний Новгород, р-н Московский, мкр. Бурнаковский, Народная ул., 36На карте",5 450 000 ₽,1 балкон,,1 пассажирский,,,
70,3-комн. квартира,Вторичка,"62,2","43,9","6,4",3 м,1 раздельный,Косметический,1959,,Кирпичный,Железобетонные,3,Центральное,Нет,3 из 3,"Нижегородская область, Нижний Новгород, р-н Советский, мкр. улица Бекетова, ул. Бекетова, 28На карте",5 500 000 ₽,,,,,Центральное,
71,2-комн. квартира,Вторичка,"46,1","28,2",6,,1 раздельный,,1973,Да,Кирпичный,Железобетонные,2,Центральное,Нет,5 из 9,"Нижегородская область, Нижний Новгород, р-н Московский, мкр. Красные зори, ул. Героя Рябцева, 12На карте",5 550 000 ₽,1 лоджия,Во двор,1 пассажирский,,Центральное,1-447
